investor_id,avg_gap_days,at_risk
INV000001,,False
INV000002,,False
INV000003,,False
INV000004,85.4,True
INV000005,,False
INV000006,,False
INV000007,,False
INV000008,70.4,True
INV000009,,False
INV000010,64.8,True
INV000011,40.166666666666664,True
INV000012,57.0,True
INV000013,55.333333333333336,True
INV000014,75.33333333333333,True
INV000015,,False
INV000016,,False
INV000017,,False
INV000018,,False
INV000019,,False
INV000020,,False
INV000021,,False
INV000022,,False
INV000023,58.57142857142857,True
INV000024,,False
INV000025,,False
INV000026,,False
INV000027,,False
INV000028,93.6,True
INV000029,60.666666666666664,True
INV000030,47.625,True
INV000031,,False
INV000032,,False
INV000033,45.57142857142857,True
INV000034,,False
INV000035,,False
INV000036,,False
INV000037,,False
INV000038,,False
INV000039,68.6,True
INV000040,,False
INV000041,,False
INV000042,,False
INV000043,,False
INV000044,,False
INV000045,70.6,True
INV000046,,False
INV000047,,False
INV000048,46.0,True
INV000049,,False
INV000050,,False
INV000051,,False
INV000052,36.2,True
INV000053,,False
INV000054,,False
INV000055,,False
INV000056,74.8,True
INV000057,49.714285714285715,True
INV000058,,False
INV000059,,False
INV000060,,False
INV000061,,False
INV000062,,False
INV000063,,False
INV000065,,False
INV000066,,False
INV000067,,False
INV000069,49.111111111111114,True
INV000070,,False
INV000071,,False
INV000072,83.0,True
INV000073,48.25,True
INV000074,72.57142857142857,True
INV000075,74.8,True
INV000076,91.8,True
INV000078,,False
INV000079,65.8,True
INV000080,,False
INV000081,81.33333333333333,True
INV000082,83.66666666666667,True
INV000083,,False
INV000084,,False
INV000085,,False
INV000086,44.666666666666664,True
INV000087,92.8,True
INV000088,,False
INV000089,,False
INV000090,,False
INV000091,44.0,True
INV000092,,False
INV000093,55.5,True
INV000094,44.8,True
INV000095,69.4,True
INV000096,,False
INV000097,54.5,True
INV000098,,False
INV000099,,False
INV000100,,False
INV000101,65.0,True
INV000102,65.28571428571429,True
INV000103,83.4,True
INV000104,,False
INV000105,57.0,True
INV000106,,False
INV000107,,False
INV000108,,False
INV000109,46.25,True
INV000110,,False
INV000111,,False
INV000112,,False
INV000113,46.0,True
INV000114,,False
INV000115,,False
INV000116,,False
INV000117,,False
INV000118,,False
INV000119,,False
INV000120,,False
INV000121,,False
INV000122,,False
INV000123,59.666666666666664,True
INV000124,,False
INV000125,,False
INV000126,,False
INV000127,,False
INV000128,82.0,True
INV000129,,False
INV000130,,False
INV000131,56.0,True
INV000132,71.0,True
INV000133,88.2,True
INV000134,,False
INV000135,,False
INV000136,,False
INV000137,,False
INV000138,76.2,True
INV000139,,False
INV000140,,False
INV000141,,False
INV000143,,False
INV000144,,False
INV000145,89.4,True
INV000146,66.8,True
INV000147,,False
INV000148,52.0,True
INV000150,,False
INV000151,,False
INV000152,,False
INV000153,,False
INV000154,,False
INV000155,37.333333333333336,True
INV000156,,False
INV000158,,False
INV000159,,False
INV000160,,False
INV000161,73.0,True
INV000162,,False
INV000163,61.0,True
INV000164,61.8,True
INV000165,,False
INV000166,,False
INV000167,,False
INV000168,,False
INV000169,67.83333333333333,True
INV000170,,False
INV000171,,False
INV000172,,False
INV000173,57.666666666666664,True
INV000174,,False
INV000175,83.66666666666667,True
INV000176,,False
INV000177,65.42857142857143,True
INV000178,,False
INV000179,,False
INV000180,61.8,True
INV000181,,False
INV000182,,False
INV000183,56.125,True
INV000184,,False
INV000185,,False
INV000189,,False
INV000190,,False
INV000191,56.5,True
INV000192,,False
INV000193,,False
INV000194,58.0,True
INV000195,77.4,True
INV000196,69.0,True
INV000197,,False
INV000198,,False
INV000199,,False
INV000200,,False
INV000201,51.125,True
INV000202,,False
INV000203,,False
INV000204,,False
INV000205,62.57142857142857,True
INV000206,,False
INV000207,,False
INV000208,,False
INV000209,,False
INV000210,70.71428571428571,True
INV000211,,False
INV000212,,False
INV000213,,False
INV000214,94.8,True
INV000215,,False
INV000216,,False
INV000217,92.0,True
INV000218,,False
INV000219,,False
INV000220,,False
INV000221,,False
INV000222,,False
INV000223,,False
INV000224,,False
INV000225,,False
INV000226,,False
INV000227,,False
INV000228,59.75,True
INV000229,,False
INV000230,,False
INV000231,,False
INV000232,,False
INV000233,,False
INV000234,,False
INV000235,,False
INV000236,67.14285714285714,True
INV000237,,False
INV000238,93.6,True
INV000239,48.857142857142854,True
INV000240,,False
INV000241,,False
INV000242,,False
INV000243,88.2,True
INV000244,,False
INV000245,92.2,True
INV000246,,False
INV000248,,False
INV000249,45.5,True
INV000251,,False
INV000252,50.4,True
INV000253,,False
INV000254,,False
INV000255,48.6,True
INV000256,70.2,True
INV000257,,False
INV000258,,False
INV000259,70.6,True
INV000260,59.57142857142857,True
INV000261,,False
INV000262,53.57142857142857,True
INV000263,68.42857142857143,True
INV000264,,False
INV000265,53.44444444444444,True
INV000266,,False
INV000267,,False
INV000268,62.333333333333336,True
INV000269,,False
INV000270,,False
INV000271,,False
INV000272,,False
INV000273,,False
INV000274,,False
INV000275,,False
INV000276,,False
INV000277,,False
INV000278,,False
INV000279,43.375,True
INV000280,55.75,True
INV000281,,False
INV000282,,False
INV000283,68.0,True
INV000284,,False
INV000285,,False
INV000286,,False
INV000287,69.83333333333333,True
INV000288,,False
INV000289,62.714285714285715,True
INV000290,,False
INV000291,89.0,True
INV000292,46.0,True
INV000293,47.0,True
INV000294,,False
INV000295,,False
INV000296,,False
INV000297,90.6,True
INV000298,,False
INV000299,85.2,True
INV000300,,False
INV000301,,False
INV000302,,False
INV000303,,False
INV000304,70.0,True
INV000305,,False
INV000306,,False
INV000307,,False
INV000308,,False
INV000309,52.0,True
INV000310,75.83333333333333,True
INV000311,,False
INV000312,,False
INV000313,,False
INV000314,,False
INV000315,,False
INV000316,,False
INV000317,,False
INV000318,97.4,True
INV000319,73.5,True
INV000320,,False
INV000321,72.83333333333333,True
INV000322,,False
INV000323,,False
INV000325,,False
INV000326,,False
INV000327,,False
INV000328,37.5,True
INV000329,,False
INV000330,,False
INV000331,50.714285714285715,True
INV000332,,False
INV000333,,False
INV000334,25.5,True
INV000335,96.0,True
INV000336,,False
INV000337,,False
INV000338,,False
INV000339,94.0,True
INV000340,,False
INV000341,54.42857142857143,True
INV000342,,False
INV000343,,False
INV000344,,False
INV000345,,False
INV000346,,False
INV000347,,False
INV000348,,False
INV000349,,False
INV000350,,False
INV000351,,False
INV000352,,False
INV000353,,False
INV000354,,False
INV000355,,False
INV000356,54.4,True
INV000357,,False
INV000358,,False
INV000359,54.125,True
INV000360,,False
INV000361,,False
INV000363,77.0,True
INV000364,,False
INV000366,,False
INV000367,,False
INV000368,,False
INV000369,43.8,True
INV000370,,False
INV000371,59.285714285714285,True
INV000372,54.5,True
INV000373,,False
INV000374,,False
INV000376,,False
INV000377,,False
INV000378,,False
INV000379,,False
